[2021-01-01 19:57:09.272] [ConceptEngine] [info] Spdlog Created
[2021-01-01 19:57:09.273] [ConceptEngine] [info] Device: NVIDIA GeForce RTX 3070 Video Memory: 843 GB
[2021-01-01 19:57:10.281] [ConceptEngine] [info] FPS: 145.2938
[2021-01-01 19:57:11.282] [ConceptEngine] [info] FPS: 143.9784
[2021-01-01 19:57:12.282] [ConceptEngine] [info] FPS: 143.9513
[2021-01-01 19:57:13.282] [ConceptEngine] [info] FPS: 143.9761
[2021-01-01 19:57:14.283] [ConceptEngine] [info] FPS: 143.9285
[2021-01-01 19:57:15.283] [ConceptEngine] [info] FPS: 143.8964
[2021-01-01 19:57:16.290] [ConceptEngine] [info] FPS: 144.0557
[2021-01-01 19:57:17.297] [ConceptEngine] [info] FPS: 143.9730
[2021-01-01 19:57:18.297] [ConceptEngine] [info] FPS: 143.9961
[2021-01-01 19:57:19.304] [ConceptEngine] [info] FPS: 143.9898
[2021-01-01 19:57:20.304] [ConceptEngine] [info] FPS: 143.9981
[2021-01-01 19:57:21.304] [ConceptEngine] [info] FPS: 143.9988
[2021-01-01 19:57:22.310] [ConceptEngine] [info] FPS: 144.0925
[2021-01-01 19:57:23.317] [ConceptEngine] [info] FPS: 144.0729
[2021-01-01 19:57:24.317] [ConceptEngine] [info] FPS: 143.9879
[2021-01-01 19:57:25.318] [ConceptEngine] [info] FPS: 143.9062
[2021-01-01 19:57:26.318] [ConceptEngine] [info] FPS: 143.9765
[2021-01-01 19:57:27.324] [ConceptEngine] [info] FPS: 144.0347
[2021-01-01 19:57:28.331] [ConceptEngine] [info] FPS: 144.0845
[2021-01-01 19:57:29.338] [ConceptEngine] [info] FPS: 144.0114
[2021-01-01 19:57:30.339] [ConceptEngine] [info] FPS: 143.8768
[2021-01-01 19:57:31.339] [ConceptEngine] [info] FPS: 143.9254
[2021-01-01 19:57:32.345] [ConceptEngine] [info] FPS: 144.1171
[2021-01-01 19:57:33.352] [ConceptEngine] [info] FPS: 144.0511
[2021-01-01 19:57:34.352] [ConceptEngine] [info] FPS: 143.9977
[2021-01-01 19:57:35.352] [ConceptEngine] [info] FPS: 142.9017
[2021-01-01 19:57:36.359] [ConceptEngine] [info] FPS: 142.1338
[2021-01-01 19:57:37.359] [ConceptEngine] [info] FPS: 143.9946
[2021-01-01 19:57:38.366] [ConceptEngine] [info] FPS: 143.9979
[2021-01-01 19:57:39.366] [ConceptEngine] [info] FPS: 143.9999
[2021-01-01 19:57:40.366] [ConceptEngine] [info] FPS: 139.9979
[2021-01-01 19:57:41.372] [ConceptEngine] [info] FPS: 144.0054
[2021-01-01 19:57:42.380] [ConceptEngine] [info] FPS: 143.9152
[2021-01-01 19:57:43.387] [ConceptEngine] [info] FPS: 144.0555
[2021-01-01 19:57:44.393] [ConceptEngine] [info] FPS: 144.0241
[2021-01-01 19:57:45.400] [ConceptEngine] [info] FPS: 144.0044
[2021-01-01 19:57:46.401] [ConceptEngine] [info] FPS: 143.8811
[2021-01-01 19:57:47.407] [ConceptEngine] [info] FPS: 144.1136
[2021-01-01 19:57:48.407] [ConceptEngine] [info] FPS: 141.9996
[2021-01-01 19:57:49.414] [ConceptEngine] [info] FPS: 143.9996
[2021-01-01 19:57:50.415] [ConceptEngine] [info] FPS: 143.8991
[2021-01-01 19:57:51.421] [ConceptEngine] [info] FPS: 142.1050
[2021-01-01 19:57:52.424] [ConceptEngine] [info] FPS: 143.6642
[2021-01-01 19:57:53.428] [ConceptEngine] [info] FPS: 144.3405
[2021-01-01 19:57:54.428] [ConceptEngine] [info] FPS: 143.9920
[2021-01-01 19:57:55.435] [ConceptEngine] [info] FPS: 143.9908
[2021-01-01 19:57:56.436] [ConceptEngine] [info] FPS: 143.8811
[2021-01-01 19:57:57.442] [ConceptEngine] [info] FPS: 144.1294
[2021-01-01 19:57:58.442] [ConceptEngine] [info] FPS: 143.9980
[2021-01-01 19:57:59.449] [ConceptEngine] [info] FPS: 144.0116
[2021-01-01 19:58:00.449] [ConceptEngine] [info] FPS: 143.9914
[2021-01-01 19:58:01.449] [ConceptEngine] [info] FPS: 143.9935
[2021-01-01 19:58:02.449] [ConceptEngine] [info] FPS: 143.9959
[2021-01-01 19:58:03.456] [ConceptEngine] [info] FPS: 144.0088
[2021-01-01 19:58:04.457] [ConceptEngine] [info] FPS: 143.9104
[2021-01-01 19:58:05.457] [ConceptEngine] [info] FPS: 143.9724
[2021-01-01 19:58:06.457] [ConceptEngine] [info] FPS: 143.9939
[2021-01-01 19:58:07.463] [ConceptEngine] [info] FPS: 144.0966
[2021-01-01 19:58:08.470] [ConceptEngine] [info] FPS: 143.9967
[2021-01-01 19:58:09.471] [ConceptEngine] [info] FPS: 143.8092
[2021-01-01 19:58:10.477] [ConceptEngine] [info] FPS: 144.1934
[2021-01-01 19:58:11.477] [ConceptEngine] [info] FPS: 143.9944
[2021-01-01 19:58:12.484] [ConceptEngine] [info] FPS: 143.0435
[2021-01-01 19:58:13.484] [ConceptEngine] [info] FPS: 143.9818
[2021-01-01 19:58:14.492] [ConceptEngine] [info] FPS: 143.7567
[2021-01-01 19:58:15.498] [ConceptEngine] [info] FPS: 144.2473
[2021-01-01 19:58:16.498] [ConceptEngine] [info] FPS: 143.9964
[2021-01-01 19:58:17.505] [ConceptEngine] [info] FPS: 143.9809
[2021-01-01 19:58:18.505] [ConceptEngine] [info] FPS: 143.9965
[2021-01-01 19:58:19.512] [ConceptEngine] [info] FPS: 144.0123
[2021-01-01 19:58:20.518] [ConceptEngine] [info] FPS: 144.0592
[2021-01-01 19:58:21.525] [ConceptEngine] [info] FPS: 144.0152
[2021-01-01 19:58:22.525] [ConceptEngine] [info] FPS: 143.9993
