[2021-01-02 20:34:13.667] [ConceptEngine] [info] Spdlog Created
[2021-01-02 20:34:13.667] [ConceptEngine] [info] Device: NVIDIA GeForce RTX 3070, Video Memory: 8433 MB
[2021-01-02 20:34:14.677] [ConceptEngine] [info] FPS: 145.9948
[2021-01-02 20:34:15.677] [ConceptEngine] [info] FPS: 143.9809
[2021-01-02 20:34:16.677] [ConceptEngine] [info] FPS: 143.9853
[2021-01-02 20:34:17.677] [ConceptEngine] [info] FPS: 143.9857
[2021-01-02 20:34:18.678] [ConceptEngine] [info] FPS: 143.9729
[2021-01-02 20:34:19.678] [ConceptEngine] [info] FPS: 143.9413
[2021-01-02 20:34:20.678] [ConceptEngine] [info] FPS: 143.9600
[2021-01-02 20:34:21.685] [ConceptEngine] [info] FPS: 143.9809
[2021-01-02 20:34:22.693] [ConceptEngine] [info] FPS: 143.9092
[2021-01-02 20:34:23.700] [ConceptEngine] [info] FPS: 144.0641
[2021-01-02 20:34:24.707] [ConceptEngine] [info] FPS: 141.8981
[2021-01-02 20:34:25.713] [ConceptEngine] [info] FPS: 144.2152
[2021-01-02 20:34:26.714] [ConceptEngine] [info] FPS: 141.7978
[2021-01-02 20:34:27.720] [ConceptEngine] [info] FPS: 143.1674
[2021-01-02 20:34:28.720] [ConceptEngine] [info] FPS: 143.9846
[2021-01-02 20:34:29.727] [ConceptEngine] [info] FPS: 143.0577
[2021-01-02 20:34:30.733] [ConceptEngine] [info] FPS: 144.0436
[2021-01-02 20:34:31.733] [ConceptEngine] [info] FPS: 142.9974
[2021-01-02 20:34:32.733] [ConceptEngine] [info] FPS: 143.9873
[2021-01-02 20:34:33.741] [ConceptEngine] [info] FPS: 143.9772
[2021-01-02 20:34:34.747] [ConceptEngine] [info] FPS: 144.0394
[2021-01-02 20:34:35.754] [ConceptEngine] [info] FPS: 143.9685
[2021-01-02 20:34:36.754] [ConceptEngine] [info] FPS: 143.9945
[2021-01-02 20:34:37.754] [ConceptEngine] [info] FPS: 143.9944
[2021-01-02 20:34:38.761] [ConceptEngine] [info] FPS: 144.0328
[2021-01-02 20:34:39.768] [ConceptEngine] [info] FPS: 143.9944
[2021-01-02 20:34:40.769] [ConceptEngine] [info] FPS: 143.8553
[2021-01-02 20:34:41.776] [ConceptEngine] [info] FPS: 144.0686
[2021-01-02 20:34:42.776] [ConceptEngine] [info] FPS: 142.9934
